Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
15125;45823;Longyuan Mulilo De Aar 2 North (RF) (Pty) Ltd;45323;Mulilo Renewable Energy;Материнская компания;Доли капитала;;;;;
15126;45823;Longyuan Mulilo De Aar 2 North (RF) (Pty) Ltd;46062;China Longyuan Power Group Corporation Limited Ltd;Материнская компания;Доли капитала;;;;;
15127;46590;Opus Solar Energy Corp.;45749;Vena Energy;Материнская компания;Доли капитала;;;;;
15128;46901;San Ignacio Energy Resources Development Corporation (SIERDC);46902;Nextnorth Holdings Corporation;Материнская компания;;;;;;San Ignacio Energy Resources Development Corporation, a joint venture between Nextnorth Holdings Corporation and global multi-energy company TotalEnergies, through its subsidiary Total Eren, is building a 440MWp solar power plant in Ilagan City, Isabela.
15129;46901;San Ignacio Energy Resources Development Corporation (SIERDC);45462;Total Eren SA;Материнская компания;;;;;;San Ignacio Energy Resources Development Corporation, a joint venture between Nextnorth Holdings Corporation and global multi-energy company TotalEnergies through its wholly owned subsidiary Total Eren, is building a 440MWp solar power plant in Ilagan City, Isabela.
15130;45250;Les Fermes de la Teranga (LFT);46870;African Discovery Group (AFDG).;Третичный инвестор/заимодатель;Доли капитала;5.0;;;;
15131;44709;Lesedi Power Company;44705;OAKLEAF INVESTMENT HOLDINGS 52 [PTY] LTD;Материнская компания;Доли капитала;50.0;;;;
15132;44709;Lesedi Power Company;44706; Letsatsi Community Trust;Материнская компания;Доли капитала;7.5;;;;
15134;44705;OAKLEAF INVESTMENT HOLDINGS 52 [PTY] LTD;45328;African Infrastructure Investment Managers (Pty) Ltd;Материнская компания;;;;;;
15135;46912;Forestal Rio Grande;46913;İskur Tekstil Enerji Tic.ve San.A.Ş;Третичный инвестор/заимодатель;;;;;;
15136;46912;Forestal Rio Grande;46914;Duratex SA;Материнская компания;;;;;;
15138;44945;PT Setia Agro Utama;202;First Resources;Материнская компания;;;;;;
15139;44846;PT Nala Palma Cadudasa;38529;PT Sawit Nusantara Makmur Utama;Материнская компания;;;;;;Information added based on deal 4474
