Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
10;34793;Unknown (Agro Forestry Research);12;Agro Forestry Research;Материнская компания;;;;;;
11;34795;Amira Pure Foods Private Limited;14;Amira Nature Foods Ltd (ANFIF);Материнская компания;Доли капитала;100.0;;;;
13;34801;Unknown (Bon Bon World Investments and Consulting Group Ltd., New York);20;Bon Bon World Investments and Consulting Group Ltd., New York;Материнская компания;;;;;;
16;34806;Carmadeno Venture (Cambodia) Limited;25;Carmadeno Venture Limited;Материнская компания;;;;;;
17;34808;Central First Company Limited;27;Central First Company;Материнская компания;;;;;;
18;34809;Unknown (China National Corporation for Overseas Economic Cooperation Laod Star Development);28;China National Corporation for Overseas Economic Cooperation Laod Star Development;Материнская компания;;;;;;
20;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);79;Men Sarun Co. Ltd.;Материнская компания;;;;;;
21;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);2371;Rama Khmer International;Материнская компания;;;;;;
22;34822;UNKNOWN (Global Tech Sdn., Men Sarun Co. Ltd., Rama Khmer International);42;Global Tech Sdn.;Материнская компания;;;;;;
25;34812;CIV Development Agro Industry Company;31;CIV Development Company;Материнская компания;Доли капитала;;;;;
26;34842;Unknown (Kapa Ltd);66;Kapa Ltd;Материнская компания;;;;;;
27;34858;Mong Reththy Investment Cassava Cambodia Co., Ltd;2319;Mong Reththy;Материнская компания;;;;;;
28;34847;Unknown (Kuwait China Investment Company (KCIC));71;Kuwait China Investment Company (KCIC);Материнская компания;;;;;;
29;34850;Leopard Capital Cambodia;2291;Leopard Capital;Материнская компания;;;;;;
30;34854;Men Sarun Import Export;79;Men Sarun Co. Ltd.;Материнская компания;;;;;;
36;34885;(Cambodia) Tong Min Group Engineering Co., Ltd.;11;China Asean Resources Ltd.;Материнская компания;;;;;;
39;34907;Yunnan Shenyu New Energy Co. Ltd.;2915;China Sandi Holdings Limited;Материнская компания;;;;;;
41;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;138;Asahi Breweries Ltd;Материнская компания;;;;;;
42;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;140;Sumitomo Chemical Company Ltd.;Материнская компания;;;;;;
43;34911;Shandong Asahi Green Source High-Tech Farm Co., Ltd.;139;Itochu Corporation;Материнская компания;;;;;;
44;34912;Green Future Innovations Inc. (GFII);2549;JGC Holdings Corporation;Материнская компания;Доли капитала;;;;;
45;34912;Green Future Innovations Inc. (GFII);2550;Philippine Bioethanol and Energy Investments Corporation;Материнская компания;Доли капитала;;;;;
46;34912;Green Future Innovations Inc. (GFII);139;Itochu Corporation;Материнская компания;Доли капитала;;;;;
47;34912;Green Future Innovations Inc. (GFII);424;GCO;Материнская компания;Доли капитала;;;;;
78;34925;Unknown (Chaoda Modern Agriculture);157;Chaoda Modern Agriculture (Holdings) Limited;Материнская компания;;;;;;
80;34928;Unknown (China Huiyuan Juice Groups);160;China Huiyuan Juice Group Ltd;Материнская компания;;;;;;
83;34935;Unknown (PT Puri Usaha Kencana, Sinopec);2620;PT Puri Usaha Kencana;Материнская компания;;;;;;
84;34935;Unknown (PT Puri Usaha Kencana, Sinopec);167;Sinopec;Материнская компания;;;;;;
85;34936;Unknown (Bolloré Group, Mellori Group);169;Mellori Group;Материнская компания;;;;;;
86;34936;Unknown (Bolloré Group, Mellori Group);168;Bolloré Group;Материнская компания;;;;;;
89;34945;Unknown (Harim Group);1923;Harim Holdings Co Ltd;Материнская компания;;;;;;
90;34946;UNKNOWN (NONGHYUP FEED INC, DAEWOO LOGISTICS);182;Nonghyup Feed Inc.;Материнская компания;;;;;;
91;34946;UNKNOWN (NONGHYUP FEED INC, DAEWOO LOGISTICS);1669;Daewoo Logistics;Материнская компания;;;;;;
103;34957;Unknown (Sime Darby);201;Sime Darby;Материнская компания;;;;;;
112;34966;PT. Henrison Inti Persada (IDN);211;Noble Resources Trading Holdings Limited (Noble Group);Материнская компания;;95.0;;;;
113;34976;Unknown (Dexion Capital);222;Dexion Capital;Материнская компания;;;;;;
114;34978;Unknown (Saudi Company for Agricultural Investment and Animal Production);224;Saudi Company for Agricultural Investment and Animal Production;Материнская компания;;;;;;
115;34982;Unknown (Noor company);228;Noor company;Материнская компания;;;;;;
116;34983;Unknown (I K Company);229;I K Company;Материнская компания;;;;;;
118;34985;Unknown (Hawkar);231;Hawkar;Материнская компания;;;;;;
119;34986;Unknown (Shiwa Company);232;Shiwa Company;Материнская компания;;;;;;
120;34987;Phu Bia Mining Limited (PBM);2019;PanAust Limited;Материнская компания;Доли капитала;90.0;;;;Phu Bia Mining Limited is a 90% owned subsidiary of the Australian-based company PanAust Limited. PanAust Limited is subsequently a subsidiary of the Chinese state-owned enterprise Guangdong Rising Holding Group (GRHG). The remaining 10% is held by the Government of Laos.
122;34989;Unknown (Agarwood Lao Group Co. Ltd.);235;Lao Agar International Development Co. Ltd. (L.A.I.D);Материнская компания;;;;;;
124;34993;Unknown (Cherchanghang Co);239;Cherchanghang Co;Материнская компания;;;;;;
125;34995;Unknown (Crapkin Agriculture Co Ltd);242;Crapkin Agriculture Co Ltd;Материнская компания;;;;;;
128;34997;Unknown (Dao Lao Co);2047;LAO GEO CONSULTANT Co., Ltd.;Материнская компания;;30.0;;;;
129;34997;Unknown (Dao Lao Co);2046;ONIX Ltd;Материнская компания;;60.0;;;;
130;34997;Unknown (Dao Lao Co);2048;MK-GROUP Co., Ltd.;Материнская компания;;10.0;;;;
131;34999;Unknown (Municipal Government of Chongqing, Government of Laos);2051;Government of Laos;Материнская компания;;;;;;
132;34999;Unknown (Municipal Government of Chongqing, Government of Laos);2050;Municipal Government of Chongqing;Материнская компания;;;;;;
133;35000;Unknown (GO Crapkin Co Ltd);247;GO Crapkin Co Ltd;Материнская компания;;;;;;
166;35003;Unknown (Heurnmao Rubber Co);252;Heurnmao Rubber Co. Ltd.;Материнская компания;;;;;;
169;35005;Unknown (Industrial and Agricultural Development for Import-Export);254;Industrial and Agricultural Development for Import-Export;Материнская компания;;;;;;
170;35006;Tongly-Jinggu;2059;Tongly;Материнская компания;;;;;;
171;35006;Tongly-Jinggu;255;Mengla Jinggu Trading Co.;Материнская компания;;;;;;
172;35007;Kolao Farm and Bio Energy Company;2060;Koala Group;Материнская компания;;;;;;
173;35007;Kolao Farm and Bio Energy Company;2240;Kolao Group;Материнская компания;;;;;;
176;35010;Savannakhet Sugar Corporation (SSC);2145;Khon Kaen Sugar Industry Public Company Limited (KSL Group);Материнская компания;Доли капитала;98.0;;;;"Savannakhet Sugar Corporation (SSC) is a subsidiary of Khon Kaen Sugar Industry Public Company Limited (KSL).  Savannakhet Sugar Corporation is controlled by the company which owns 98.00% of the subsidiary’s shares

"
177;35011;Unknown (KV Import-Export Co. Ltd.);260;KV Import-Export Co. Ltd.;Материнская компания;;;;;;
178;35012;Unknown (Lakorea Co.);261;Lakorea Co.;Материнская компания;;;;;;
182;35020;Lao-Yunnan Power Biological Products Company;2077;Yunnan Power Biological Products Co. Ltd;Материнская компания;;;;;;
185;35022;Unknown (Mr Chang Hwan Choi);275;Mr. Chang Hwan Choi;Материнская компания;;;;;;
186;35023;Unknown (Mr Lai Vanthong);276;Mr. Lai Vanthong;Материнская компания;;;;;;
187;35027;Unknown (Rafarm Agriculture Development Co.);281;Rafarm Agriculture Development Co.;Материнская компания;;;;;;
188;35028;JVA of Mai District Authority and the Thien Loui Ye Company Ltd;282;Thien Loui Ye Co Ltd;Материнская компания;;;;;;
189;35029;Unknown (Tongtheun Lao-China Agriculture Development);283;Tongtheun Lao-China Agriculture Development;Материнская компания;;;;;;
190;35032;Unknown (Wanxouane Ngouane Thanghai Co);287;Wanxouane Ngouane Thanghai Co;Материнская компания;;;;;;
193;35038;Xaysomboun Agriculture Development Co., Ltd;2089;Xaysomboun Agriculture Development Co.;Материнская компания;;;;;;
194;35040;Unknown (Yongfong Xeun Co);296;Yongfong Xeun Co;Материнская компания;;;;;;
195;35041;Unknown (Yongfongxeun Industrial Wood Plantation Co. Ltd.);297;Yongfongxeun Industrial Wood Plantation Co. Ltd.;Материнская компания;;;;;;
220;35083;Unknown (Kuwait Fund For Arab Economic Development, Kuwait Investment Authority (KIA), Kuwait Petroleum Corporation);339;Kuwait Investment Authority (KIA);Материнская компания;;;;;;
221;35083;Unknown (Kuwait Fund For Arab Economic Development, Kuwait Investment Authority (KIA), Kuwait Petroleum Corporation);341;Kuwait Petroleum Corporation;Материнская компания;;;;;;
222;35083;Unknown (Kuwait Fund For Arab Economic Development, Kuwait Investment Authority (KIA), Kuwait Petroleum Corporation);340;Kuwait Fund For Arab Economic Development;Материнская компания;;;;;;
223;35084;Unknown (Unnamed investor 54);342;Government of Myanmar;Материнская компания;;;;;;
224;35085;Unknown (Unnamed investor 55);343;Government of Thailand;Материнская компания;;;;;;
225;35085;Unknown (Unnamed investor 55);342;Government of Myanmar;Материнская компания;;;;;;
255;35091;Unknown (Abu Dhabi Group);349;Abu Dhabi Group;Материнская компания;;;;;;
256;35130;RP Harvest;2292;AMA Group Holdings Corp;Материнская компания;;;;;;
257;35130;RP Harvest;392;Nader & Ebrahim s/o Hassan Co.;Материнская компания;;;;;;
260;35098;Unknown (Shaikh Zaid Bib Nahyan of Abu Dhabi);358;Shaikh Zaid Bib Nahyan of Abu Dhabi;Материнская компания;;;;;;
264;35108;Joint Venture - Kijani Energy & Pakistan Agriculture Research Council (PRAC);368;Kijani Energy Canada;Материнская компания;;;;;;Company was reported to be from Canada, but as of June 2025 the company reports out of South Africa
282;35142;Unknown (Guangdong Academy of Agricultural Sciences);406;Guangdong Academy of Agricultural Sciences;Материнская компания;;;;;;
284;35148;Unknown (China Development Bank, Jilin Fuhua Agricultural Science and Technology Development, Co. Ltd., People’s Government of Jilin);413;Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.;Материнская компания;;;;;;
285;35148;Unknown (China Development Bank, Jilin Fuhua Agricultural Science and Technology Development, Co. Ltd., People’s Government of Jilin);411;Regional Government of Jilin;Материнская компания;;;;;;
286;35148;Unknown (China Development Bank, Jilin Fuhua Agricultural Science and Technology Development, Co. Ltd., People’s Government of Jilin);412;China Development Bank;Материнская компания;;;;;;
291;35159;Unknown (Mitsubishi Corp.);425;Mitsubishi Corp.;Материнская компания;;;;;;
297;35164;Unknown (Jeonnam Feedstock Ltd.);432;Jeonnam Feedstock Ltd.;Материнская компания;;;;;;
345;35177;Unknown (Far East Agricultural Investment Co);442;Far Eastern Agricultural Investment Corporation (FEAICO);Материнская компания;;;;;;
346;35178;Unknown (East Asia Development and Agricultural Investment Company (EADACO));448;Tabuk Agricultural Development Company (TADCO);Материнская компания;;;;;;
348;38187;Centaurus Holdings S.A;3062;Klabin S.A;Материнская компания;;51.0;;;;
357;35189;Unknown (Highlands Development Cooperative);462;Highlands Development Cooperative;Материнская компания;;;;;;
358;35190;Unknown (Leyte Agri Corporation, Praj Industries Ltd);2070;Praj Industries Ltd;Материнская компания;;;;;;
359;35190;Unknown (Leyte Agri Corporation, Praj Industries Ltd);463;Leyte Agri Corporation;Материнская компания;;;;;;
362;35181;Charoen Pokphand Foods Philippines Corp.;498;Charoen Pokphand Group Co., Ltd. (CP Group);Материнская компания;Доли капитала;100.0;4000000000.0;Philippine Peso (₱);2024-11-21;Lead investor/operator. CPF set up CPF Philippines Corp in 2007 and has since financed all major project components (feed mills, farms, hatcheries). It injects capital for construction and operation. CP Group (owned by the Chearavanont family) is the ultimate owner. CPF’s integration ensures supply of technology, breeding stock, and access to export markets.
363;35197;ECO Global Bio-Oils Inc;2914;Eco Solutions Co Ltd;Материнская компания;;;;;;
367;35202;Unknown (Biosystems Co. Ltd);478;Biosystems Co. Ltd;Материнская компания;;;;;;
372;35215;Unknown (Ruam Jai Chao Nah (Uniting Farmers));495;Ruam Jai Chao Nah (Uniting Farmers);Материнская компания;;;;;;
373;35216;University of Kasetsart;497;Viengsa Agricultural Co-operative;Материнская компания;;;;;;
374;35216;University of Kasetsart;496;University of Kasetsart;Материнская компания;;;;;;
377;35226;Unknown (Saudi Fund for Development, Unnamed investor 106);508;Unnamed investor 106;Материнская компания;;;;;;
378;35226;Unknown (Saudi Fund for Development, Unnamed investor 106);507;Saudi Fund for Development;Материнская компания;;;;;;
380;35237;Unknown (Vietnamese State);520;Vietnamese State;Материнская компания;;;;;;
381;35237;Unknown (Vietnamese State);519;Luveco Fruits and Vegetables;Материнская компания;;;;;;
431;35276;Pondicherry SEZ Co Ltd;2016;OM METALS INFRAPROJECTS LIMITED (OMIL);Материнская компания;;19.0;;;;
432;35276;Pondicherry SEZ Co Ltd;2017;PONDICHERRY INDUSTRIAL PROMOTION DEVELOPMENT AND INVESTMENT CORPORATION LIMITED(PIPDIC);Материнская компания;;19.0;;;;
433;35276;Pondicherry SEZ Co Ltd;562;Pondicherry SEZ Co Ltd;Материнская компания;;19.0;;;;
434;35276;Pondicherry SEZ Co Ltd;2015;SUBHASH PROJECTS AND MARKETING LIMITED (SPML);Материнская компания;;19.0;;;;
435;35277;Posco-India;573;POSCO;Материнская компания;;;;;;
438;35281;SIPCOT;2255;State Industries Promotion Corporation of Tamil Nadu (Sipcot);Материнская компания;;;;;;
447;35309;Jaisawal Nicco Kondkel;599;Jayaswal Neco Industries Limited (JNIL);Материнская компания;;;;;;
450;35316;Brandix India Apparel City Private Limited (BIAC);605;Brandix Lanka Limited;Материнская компания;;;;;;
451;35318;MAS Fabric Park (India) Private Limited (MFP);607;MAS Holdings;Материнская компания;;;;;;
452;35319;IFFCO Kisan SEZ Limited.;2241;Indian Farmers Fertilizer Co-operative Limited (IFFCO);Материнская компания;;;;;;
453;35319;IFFCO Kisan SEZ Limited.;608;IFFCO Kisan SEZ Limited.;Материнская компания;;;;;;
454;35320;Unknown (Rassai Properties & Industries Limited);609;Rassai Properties & Industries Limited;Материнская компания;;;;;;
468;35358;Unknown (KRAM S.A.);647;KRAM S.A.;Материнская компания;;;;;;
471;35366;MCC Minera Sierra Grande S.A;3107;A Grade Trading Ltda;Материнская компания;;;;;;
472;35366;MCC Minera Sierra Grande S.A;3106;China Metallurgical Group (CMG);Материнская компания;;;;;;
477;35411;Unknown (Monaxxion);706;Monaxxion;Материнская компания;;;;;;
478;35412;Unknown (Walton International Group Inc.);707;Walton International Group Inc.;Материнская компания;;;;;;
526;35473;Unknown (Global Farming Limited);777;Global Farming Limited;Материнская компания;;;;;;
527;35474;Unknown (RCPL Food Processing Pvt. LTDA.);778;RCPL Food Processing Pvt. LTDA.;Материнская компания;;;;;;
528;35475;Unknown (Solvent Extractors Association);337;Solvent Extractors’ Association (SEA) of India;Материнская компания;;;;;;
532;35481;Unknown (State Trading Corporation);785;State Trading Corporation;Материнская компания;;;;;;
533;35482;Minera Huaquillas S.A.C;3002;Inca One Resources Corp;Материнская компания;;;;;;
536;35509;Unknown (DOE RUN PERU S.R.L.);814;DOE RUN PERU S.R.L.;Материнская компания;;;;;;
538;35516;Unknown (Los Grobo);823;Los Grobo;Материнская компания;;;;;;
542;35523;Unknown (The Australia New Zealand Forest Fund);831;Alberta Investment Management Corp (AIMCo);Материнская компания;;;;;;
543;35523;Unknown (The Australia New Zealand Forest Fund);832;The Australia New Zealand Forest Fund;Материнская компания;;;;;;
547;35534;Unknown (KTG Agrar);845;KTG Agrar;Материнская компания;;;;;;
548;35537;Unknown (Agria);848;Agria;Материнская компания;;;;;;
549;35538;Unknown (Bright Dairy and  Food Group);849;Bright Dairy and  Food Group;Материнская компания;;;;;;
550;35539;Unknown (Ingleby, Unnamed investor 135);851;Ingleby;Материнская компания;;;;;;
551;35539;Unknown (Ingleby, Unnamed investor 135);852;Unnamed investor 135;Материнская компания;;;;;;
552;35540;Unknown (Natural Dairy NZ);853;Natural Dairy NZ;Материнская компания;;;;;;
553;35540;Unknown (Natural Dairy NZ);854;Unnamed investor 136;Материнская компания;;;;;;
554;35544;Unknown (Origin);857;Origin;Материнская компания;;;;;;
562;35551;Unknown (Schroders Plc);865;Schroders Plc;Материнская компания;;;;;;
593;35552;Unknown (Pharos Financial Group, Miro Holdings International);867;Miro Holdings International;Материнская компания;;;;;;
594;35552;Unknown (Pharos Financial Group, Miro Holdings International);1725;Pharos Financial Group;Материнская компания;;;;;;
595;35556;Unknown (private investors);872;private investors Iran;Материнская компания;;;;;;
596;35559;Nastyusha;876;Grain Company Nastyusha;Материнская компания;;;;;;
602;35568;Tristan Fresh Produce;3120;Koeleman Foods International B.V.;Материнская компания;;;;;;
603;35570;Unknown (Unnamed investor 141);889;Unnamed investor 141;Материнская компания;;;;;;
605;35587;Ukrzernoprom Agro LLC;909;MCB Agricole;Материнская компания;;;;;;
606;35613;Unknown (Gleinol);937;Gleinol;Материнская компания;;;;;;
609;35627;Unknown (Complant);953;Complant (China National Complete Plant Import & Export Corp., Ltd.);Материнская компания;;100.0;;;;
610;35629;Unknown (Green Waves);955;Green Waves;Материнская компания;;;;;;
611;35631;Unknown (Betexco);957;Betexco;Материнская компания;;100.0;;;;
670;35580;"""TAS AGRO"" LLC";902;"JSC ""TAS Group""";Материнская компания;;;;;;
673;35677;Unknown (I.D.C Investment, Unnamed investor 164);1010;I.D.C Investment;Материнская компания;;80.0;;;;
674;35677;Unknown (I.D.C Investment, Unnamed investor 164);1011;Unnamed investor 164;Материнская компания;;80.0;;;;
675;35688;Punjab farmer association;1022;Punjab farmer association;Материнская компания;;;;;;
676;35682;National Biodiesel Corporation;1017;National Biodiesel Corporation;Материнская компания;;20.0;;;;
677;35682;National Biodiesel Corporation;1015;Sun Biofuels;Материнская компания;;80.0;;;;
685;35705;Ardent Energy Group Ethiopia;1040;Ardent Energy Group;Материнская компания;;;;;;
686;35705;Ardent Energy Group Ethiopia;2070;Praj Industries Ltd;Материнская компания;;;;;;
687;35706;Unknown (Africa Ethiopia Biomass Energy PLC);1041;Africa Ethiopia Biomass Energy PLC;Материнская компания;;;;;;
688;35690;Ruchi Agri Plc;2427;Ruchi Soya Industries;Материнская компания;;;;;;
690;35707;Unknown (Unnamed investor 170);1042;Unnamed investor 170;Материнская компания;;;;;;
694;35723;Unknown (Hovev Agriculture);1058;Hovev Agriculture;Материнская компания;;;;;;
695;35725;Unknown (Yehuda Hayun);1060;Yehuda Hayun;Материнская компания;;100.0;;;;
697;35730;Adventure Ethiopia Agriculture Development P.L.C.;1065;Adventure Ethiopia;Материнская компания;;30.0;;;;
698;35730;Adventure Ethiopia Agriculture Development P.L.C.;1067;Unnamed investor 177;Материнская компания;;30.0;;;;
699;35730;Adventure Ethiopia Agriculture Development P.L.C.;1066;Unnamed investor 176;Материнская компания;;30.0;;;;
700;35731;Unknown (Ertale Bio Diesel PLC, Unnamed investor 178);1068;Ertale Bio Diesel PLC;Материнская компания;;49.0;;;;
701;35731;Unknown (Ertale Bio Diesel PLC, Unnamed investor 178);1069;Unnamed investor 178;Материнская компания;;49.0;;;;
704;35735;Unknown (African Climate Exchange PLC, Unnamed investor 183);1077;African Climate Exchange PLC;Материнская компания;;75.0;;;;
705;35735;Unknown (African Climate Exchange PLC, Unnamed investor 183);1078;Unnamed investor 183;Материнская компания;;75.0;;;;
706;35736;Unknown (J.M.B.O Biofuel Production, Unnamed investor 184);1079;J.M.B.O Biofuel Production;Материнская компания;;;;;;
707;35738;Morrell Agro Industries;1083;Morrell Agro Industries PLC;Материнская компания;;;;;;
708;35739;Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188);1085;A.B.S.A Biofuels PLC;Материнская компания;;60.0;;;;
709;35739;Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188);1087;Unnamed investor 188;Материнская компания;;60.0;;;;
710;35739;Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188);1086;Unnamed investor 187;Материнская компания;;60.0;;;;
711;35742;Unknown (F.E.P.E Amero Bio-Oil, Unnamed investor 192);1093;F.E.P.E Amero Bio-Oil;Материнская компания;;;;;;
713;35752;Unknown (Chadha Agro Plc);1104;Chadha Agro Plc;Материнская компания;;;;;;
714;35754;Unknown (Elva NederlandLtd );1106;Elva NederlandLtd;Материнская компания;;100.0;;;;
716;35764;Unknown (J. García-Carrión);1118;J. García-Carrión;Материнская компания;;;;;;
769;35822;Platinum Madagascar SARL;2000;GEXSI;Материнская компания;;;;;;
770;35822;Platinum Madagascar SARL;2001;Futuro Forestal;Материнская компания;;;;;;
771;35780;Mozbife;1139;Agriterra Ltd;Материнская компания;;;;;;
774;35813;Unknown (ER Company);1174;ER Company;Материнская компания;;;;;;
775;35788;Unknown (Qatari Government);1147;Qatari Government;Материнская компания;;;;;;
776;35824;Unknown (Landmark);1187;Landmark;Материнская компания;;;;;;
780;35821;JatroGreen S.A.R.L.;1183;GreenIsland Madagascar;Материнская компания;;;;;;
781;35821;JatroGreen S.A.R.L.;1182;Jatro Solutions;Материнская компания;;;;;;
782;35802;Unknown (Unnamed investor 201);1162;Unnamed investor 201;Материнская компания;;;;;;
784;35791;Unknown (Bioenergy International);1150;Bioenergy International;Материнская компания;;;;;;
785;35799;Firestone Liberia Inc;2132;Bridgestone Corporation;Материнская компания;;100.0;;;;
786;35743;Whitefield Cotton Farm Plc;2602;Sara Cotton Fibers Ltd;Материнская компания;;100.0;;;;
787;35814;Unknown (ERS);1175;ERS;Материнская компания;;;;;;
788;35839;Unknown (Soabe);1203;Soabe;Материнская компания;;100.0;;;;
789;35807;Unknown (TEA (Tiris Euro Arab));1166;TEA (Tiris Euro Arab);Материнская компания;;100.0;;;;
790;35849;Unknown (Magnard);1215;Magnard;Материнская компания;;;;;;
792;35817;Unknown (Global Agro-Fuel);1178;Global Agro-Fuel;Материнская компания;;;;;;
793;35818;Unknown (International bank for Reconstruction and Development);1999;Government of Madagascar;Материнская компания;;;;;;
794;35819;Unknown (J and J);1180;J and J;Материнская компания;;;;;;
795;35820;Unknown (J Oils);1181;J-Oil;Материнская компания;;100.0;;;;
797;35831;Unknown (Montevede);1195;Monteverde;Материнская компания;;;;;;
799;35833;Unknown (NOTS);1197;NOTS Renewable Energy BV;Материнская компания;;;;;;
800;35810;SMCTR Société Malgache de Collecte et de Transformation de la Résine;1171;DRT;Материнская компания;;100.0;;;;
801;35835;Unknown (Osho Group);1199;Osho Group;Материнская компания;;;;;;
805;35846;Unknown (Unitech);1212;Unitech;Материнская компания;;;;;;
806;35847;Unknown (Vaudo);1213;Vaudo;Материнская компания;;;;;;
807;35848;Unknown (Weichu Madagascar Agricultural Development Company);1214;Weichu Madagascar Agricultural Development Company;Материнская компания;;;;;;
808;35855;Unknown (Assil Meroueh);1221;Assil Meroueh;Материнская компания;;;;;;
809;35856;Unknown (Soudan Fayez);1222;Soudan Fayez;Материнская компания;;;;;;
810;35857;Mali Folkcenter;2448;Danish Folkecenter for Renewable Energy;Материнская компания;;;;;;
811;35860;Unknown (CEN_SAD (Community of Sahel-Saheriens));1227;CEN_SAD (Community of Sahel-Saheriens);Материнская компания;;;;;;
813;35866;Unknown (Southern Global Inc.);1235;Southern Global Inc.;Материнская компания;;;;;;
841;35876;Unknown (Unnamed investor 216);1244;Unnamed investor 216;Материнская компания;;;;;;
842;35927;Unknown (SAPPI);1307;SAPPI;Материнская компания;;;;;;
843;35882;Unknown (Co-Enterprise);1251;Co-Enterprise;Материнская компания;;;;;;
844;35950;Unknown (EAM (Empreendimentos Agrarios de Moçambique));1330;EAM (Empreendimentos Agrarios de Moçambique);Материнская компания;;;;;;
845;35888;Unknown (CAMEX);1260;CAMEX;Материнская компания;;;;;;
846;35890;SOCOGEM;1239;Groupe Tomota;Материнская компания;;;;;;
847;35891;3M;2774;société Moulin moderne du Mali (3M);Материнская компания;;100.0;;;;
849;35894;Unknown (C3 Biodiesel);1265;C3 Biodiesel;Материнская компания;;;;;;
851;35900;Grupo Madal;1273;Rift Valley Corporation;Материнская компания;;100.0;;;;
852;35902;Unknown (Geralco);1275;Geralco;Материнская компания;;;;;;
853;35906;Unknown (Government, Petromoc);1684;Petromoc;Материнская компания;;;;;;
854;35906;Unknown (Government, Petromoc);2093;Government of Mozambique;Материнская компания;;;;;;
855;35909;SAB Mozambique/Inveragro;1285;Gruppo Api;Материнская компания;;;;;;
856;35909;SAB Mozambique/Inveragro;1286;Gruppo Industriale Maccaferri;Материнская компания;;;;;;
863;35913;Enerterra;1291;SGC Energia;Материнская компания;;;;;;
865;35917;Niqel Lda;1295;Dutch Jatropha Consortium;Материнская компания;;;;;;
866;35924;Unknown (Sabie Game Park);1304;Sabie Game Park;Материнская компания;;;;;;
869;35928;Unknown (SAP-Sociedade Agropecuaria, SARL);1308;SAP-Sociedade Agropecuaria, SARL;Материнская компания;;;;;;
870;35929;Unknown (Manuel B. Medeiros);1309;Manuel B. Medeiros;Материнская компания;;;;;;
871;35931;Unknown (NTC);1311;NTC;Материнская компания;;;;;;
872;35932;Unknown (Gestor, Lda);1312;Gestor, Lda;Материнская компания;;;;;;
873;35933;Unknown (Isabel M. F. Lopes e A. Lopes (Herdeiros));1313;Isabel M. F. Lopes e A. Lopes (Herdeiros);Материнская компания;;;;;;
874;35934;Unknown (Zefanias E. Oguane);1314;Zefanias E. Oguane;Материнская компания;;;;;;
875;35935;Unknown (Agostinho F. Lissane);1315;Agostinho F. Lissane;Материнская компания;;;;;;
877;35937;Unknown (Miguel João Mondlane);1317;Miguel João Mondlane;Материнская компания;;;;;;
878;35938;Unknown (Francisco J. Gonçalves);1318;Francisco J. Gonçalves;Материнская компания;;;;;;
879;35939;Unknown (Juma Juma F. Ussene);1319;Juma Juma F. Ussene;Материнская компания;;;;;;
880;35940;Unknown (Ofelia Jose Mausse);1320;Ofelia Jose Mausse;Материнская компания;;;;;;
881;35941;Unknown (Omar Cassamo);1321;Omar Cassamo;Материнская компания;;;;;;
882;35943;Unknown (Justino M. Novela);1323;Justino M. Novela;Материнская компания;;;;;;
883;35944;Unknown (Azevedo Suege);1324;Azevedo Suege;Материнская компания;;;;;;
887;35946;Unknown (Sociedade Dambaera Safaris, Lda);1326;Sociedade Dambaera Safaris, Lda;Материнская компания;;;;;;
888;35947;Unknown (Moby Agro, Lda);1327;Moby Agro, Lda;Материнская компания;;;;;;
889;35949;Unknown (Maria F. de R. Rohomodja);1329;Maria F. de R. Rohomodja;Материнская компания;;;;;;
890;35951;Unknown (Jose Pinto Matavel);1331;Jose Pinto Matavel;Материнская компания;;;;;;
891;35952;Unknown (Raimundo Uahala);1332;Raimundo Uahala;Материнская компания;;;;;;
892;35954;Unknown (Companhia Agricola de Muroa);1334;Companhia Agricola de Muroa;Материнская компания;;;;;;
895;35959;Unknown (Versus Moçambique, Lda);1339;Versus Moçambique, Lda;Материнская компания;;;;;;
898;35962;Unknown (Neotech, Lda);1342;Neotech, Lda;Материнская компания;;;;;;
899;35963;Unknown (Sociedade Muangaza Safaris, Lda.);1343;Sociedade Muangaza Safaris, Lda.;Материнская компания;;;;;;
900;35964;Unknown (Hunters Mozambique Lda);1344;Hunters Mozambique Lda;Материнская компания;;;;;;
901;35966;Unknown (Luis Antonio Mondlane);1346;Luis Antonio Mondlane;Материнская компания;;;;;;
932;36040;Unknown (Prince Budr Bin Sultan);1430;Prince Budr Bin Sultan;Материнская компания;;100.0;;;;
935;36048;Unknown (African Commericial Development (ACD), Joint Aid Management (JAM));1440;African Commericial Development (ACD);Материнская компания;;;;;;
936;36048;Unknown (African Commericial Development (ACD), Joint Aid Management (JAM));1439;Joint Aid Management (JAM);Материнская компания;;;;;;
941;35973;Unknown (Unnamed investor 227);2239;Government of Djibouti;Материнская компания;;100.0;;;;
