kpi_enum,territory,territory_code,group,value,cnt_cost_not_null,layer,value_data,value_data_prev,month,year,territory_en
land_market_average_price_per_ga,Сумська область,UA59000000000057109,,35763.03,,-1,,,8,2025,"Sumy Oblast, Ukraine"
land_market_average_price_per_ga,Тернопільська область,UA61000000000060328,,64400.16,,-1,,,8,2025,"Ternopil Oblast, Ukraine"
land_market_average_price_per_ga,Харківська область,UA63000000000041885,,36556.98,,-1,,,8,2025,"Kharkiv Oblast, Ukraine"
land_market_average_price_per_ga,Херсонська область,UA65000000000030969,,25365.56,,-1,,,8,2025,"Kherson Oblast, Ukraine"
land_market_average_price_per_ga,Хмельницька область,UA68000000000099709,,51210.23,,-1,,,8,2025,"Khmelnytskyi Oblast, Ukraine"
land_market_average_price_per_ga,Черкаська область,UA71000000000010357,,46711.11,,-1,,,8,2025,"Cherkasy Oblast, Ukraine"
land_market_average_price_per_ga,Чернівецька область,UA73000000000044923,,56614.12,,-1,,,8,2025,"Chernivtsi Oblast, Ukraine"
land_market_average_price_per_ga,Чернігівська область,UA74000000000025378,,36918.05,,-1,,,8,2025,"Chernihiv Oblast, Ukraine"
land_market_average_price_per_ga,Україна,UA00000000000000000,,60494.5,,-1,,,9,2025,Ukraine
land_market_average_price_per_ga,Вінницька область,UA05000000000010236,,55093.64,,-1,,,9,2025,"Vinnytsia Oblast, Ukraine"
land_market_average_price_per_ga,Волинська область,UA07000000000024379,,45168.23,,-1,,,9,2025,"Volyn Oblast, Ukraine"
land_market_average_price_per_ga,Дніпропетровська область,UA12000000000090473,,40290.38,,-1,,,9,2025,"Dnipropetrovsk Oblast, Ukraine"
land_market_average_price_per_ga,Донецька область,UA14000000000091971,,29963.51,,-1,,,9,2025,"Donetsk Oblast, Ukraine"
land_market_average_price_per_ga,Житомирська область,UA18000000000041385,,42145.24,,-1,,,9,2025,"Zhytomyr Oblast, Ukraine"
land_market_average_price_per_ga,Закарпатська область,UA21000000000011690,,62353.96,,-1,,,9,2025,"Zakarpattia Oblast, Ukraine"
land_market_average_price_per_ga,Запорізька область,UA23000000000064947,,27508.95,,-1,,,9,2025,"Zaporizhzhia Oblast, Ukraine"
land_market_average_price_per_ga,Івано-Франківська область,UA26000000000069363,,123949.98,,-1,,,9,2025,"Ivano-Frankivsk Oblast, Ukraine"
land_market_average_price_per_ga,Київська область,UA32000000000030281,,90520.73,,-1,,,9,2025,"Kyiv Oblast, Ukraine"
land_market_average_price_per_ga,Кіровоградська область,UA35000000000016081,,39119.68,,-1,,,9,2025,"Kirovohrad Oblast, Ukraine"
land_market_average_price_per_ga,Луганська область,UA44000000000018893,,25874.9,,-1,,,9,2025,"Luhansk Oblast, Ukraine"
land_market_average_price_per_ga,Львівська область,UA46000000000026241,,99512.97,,-1,,,9,2025,"Lviv Oblast, Ukraine"
land_market_average_price_per_ga,Миколаївська область,UA48000000000039575,,32313.68,,-1,,,9,2025,"Mykolaiv Oblast, Ukraine"
land_market_average_price_per_ga,Одеська область,UA51000000000030770,,38943.37,,-1,,,9,2025,"Odesa Oblast, Ukraine"
land_market_average_price_per_ga,Полтавська область,UA53000000000028050,,53468.91,,-1,,,9,2025,"Poltava Oblast, Ukraine"
land_market_average_price_per_ga,Рівненська область,UA56000000000066151,,53607.47,,-1,,,9,2025,"Rivne Oblast, Ukraine"
land_market_average_price_per_ga,Сумська область,UA59000000000057109,,35819.57,,-1,,,9,2025,"Sumy Oblast, Ukraine"
land_market_average_price_per_ga,Тернопільська область,UA61000000000060328,,66486.04,,-1,,,9,2025,"Ternopil Oblast, Ukraine"
land_market_average_price_per_ga,Харківська область,UA63000000000041885,,36852.9,,-1,,,9,2025,"Kharkiv Oblast, Ukraine"
land_market_average_price_per_ga,Херсонська область,UA65000000000030969,,25416.78,,-1,,,9,2025,"Kherson Oblast, Ukraine"
land_market_average_price_per_ga,Хмельницька область,UA68000000000099709,,51718.31,,-1,,,9,2025,"Khmelnytskyi Oblast, Ukraine"
land_market_average_price_per_ga,Черкаська область,UA71000000000010357,,47602.7,,-1,,,9,2025,"Cherkasy Oblast, Ukraine"
land_market_average_price_per_ga,Чернівецька область,UA73000000000044923,,58039.06,,-1,,,9,2025,"Chernivtsi Oblast, Ukraine"
land_market_average_price_per_ga,Чернігівська область,UA74000000000025378,,37157.3,,-1,,,9,2025,"Chernihiv Oblast, Ukraine"
land_market_average_price_per_ga,Україна,UA00000000000000000,,62367.4,,-1,,,10,2025,Ukraine
land_market_average_price_per_ga,Вінницька область,UA05000000000010236,,55723.6317334676,,-1,,,10,2025,"Vinnytsia Oblast, Ukraine"
land_market_average_price_per_ga,Волинська область,UA07000000000024379,,45512.6506507731,,-1,,,10,2025,"Volyn Oblast, Ukraine"
land_market_average_price_per_ga,Дніпропетровська область,UA12000000000090473,,40362.0510044659,,-1,,,10,2025,"Dnipropetrovsk Oblast, Ukraine"
land_market_average_price_per_ga,Донецька область,UA14000000000091971,,29995.0836291185,,-1,,,10,2025,"Donetsk Oblast, Ukraine"
land_market_average_price_per_ga,Житомирська область,UA18000000000041385,,43078.6908050735,,-1,,,10,2025,"Zhytomyr Oblast, Ukraine"
land_market_average_price_per_ga,Закарпатська область,UA21000000000011690,,64613.2424444686,,-1,,,10,2025,"Zakarpattia Oblast, Ukraine"
land_market_average_price_per_ga,Запорізька область,UA23000000000064947,,27776.7903444666,,-1,,,10,2025,"Zaporizhzhia Oblast, Ukraine"
land_market_average_price_per_ga,Івано-Франківська область,UA26000000000069363,,124586.651208872,,-1,,,10,2025,"Ivano-Frankivsk Oblast, Ukraine"
land_market_average_price_per_ga,Київська область,UA32000000000030281,,91567.6284906601,,-1,,,10,2025,"Kyiv Oblast, Ukraine"
land_market_average_price_per_ga,Кіровоградська область,UA35000000000016081,,39453.7944330645,,-1,,,10,2025,"Kirovohrad Oblast, Ukraine"
land_market_average_price_per_ga,Луганська область,UA44000000000018893,,25874.9,,-1,,,10,2025,"Luhansk Oblast, Ukraine"
land_market_average_price_per_ga,Львівська область,UA46000000000026241,,100990.021822477,,-1,,,10,2025,"Lviv Oblast, Ukraine"
land_market_average_price_per_ga,Миколаївська область,UA48000000000039575,,32352.6670720687,,-1,,,10,2025,"Mykolaiv Oblast, Ukraine"
land_market_average_price_per_ga,Одеська область,UA51000000000030770,,38876.1998464118,,-1,,,10,2025,"Odesa Oblast, Ukraine"
land_market_average_price_per_ga,Полтавська область,UA53000000000028050,,54019.6526293638,,-1,,,10,2025,"Poltava Oblast, Ukraine"
land_market_average_price_per_ga,Рівненська область,UA56000000000066151,,53970.6529293081,,-1,,,10,2025,"Rivne Oblast, Ukraine"
land_market_average_price_per_ga,Сумська область,UA59000000000057109,,35994.5341041527,,-1,,,10,2025,"Sumy Oblast, Ukraine"
land_market_average_price_per_ga,Тернопільська область,UA61000000000060328,,66740.3262062811,,-1,,,10,2025,"Ternopil Oblast, Ukraine"
land_market_average_price_per_ga,Харківська область,UA63000000000041885,,37149.0721852402,,-1,,,10,2025,"Kharkiv Oblast, Ukraine"
land_market_average_price_per_ga,Херсонська область,UA65000000000030969,,25463.1962212146,,-1,,,10,2025,"Kherson Oblast, Ukraine"
land_market_average_price_per_ga,Хмельницька область,UA68000000000099709,,52231.5321432595,,-1,,,10,2025,"Khmelnytskyi Oblast, Ukraine"
land_market_average_price_per_ga,Черкаська область,UA71000000000010357,,48444.9669410778,,-1,,,10,2025,"Cherkasy Oblast, Ukraine"
land_market_average_price_per_ga,Чернівецька область,UA73000000000044923,,58810.8558604492,,-1,,,10,2025,"Chernivtsi Oblast, Ukraine"
land_market_average_price_per_ga,Чернігівська область,UA74000000000025378,,37282.5839500928,,-1,,,10,2025,"Chernihiv Oblast, Ukraine"
land_market_average_price_per_ga,Україна,UA00000000000000000,,63565.24,,-1,,,11,2025,Ukraine
land_market_average_price_per_ga,Вінницька область,UA05000000000010236,,56255.03,,-1,,,11,2025,"Vinnytsia Oblast, Ukraine"
land_market_average_price_per_ga,Волинська область,UA07000000000024379,,45725.64,,-1,,,11,2025,"Volyn Oblast, Ukraine"
land_market_average_price_per_ga,Дніпропетровська область,UA12000000000090473,,40931.95,,-1,,,11,2025,"Dnipropetrovsk Oblast, Ukraine"
land_market_average_price_per_ga,Донецька область,UA14000000000091971,,30038.27,,-1,,,11,2025,"Donetsk Oblast, Ukraine"
