Investor ID;Name;Country of registration/origin;Classification;Investor homepage;Opencorporates link;Comment;Action comment
170;NEOS Resources PLC;United Kingdom of Great Britain and Northern Ireland;Компания, имеющая листинг на фондовой бирже;;;"The company was dissolved in 2017.
formerly named D1 Oils plc
D1-Mohan Bio Oils Ltd. Is a joint venture (at 50:50) between D1 Oils plc, a UK-based multinational company, and Chennai-based Mohan Breweries & Distilleries Limited. (http://www.d1plc.com/)
NEOS was forced to de-list in 2013 and most likely no longer exists.(https://masterinvestor.co.uk/latest/neos-resources-misleading-rnss-and-a-welter-of-unanswered-questions/)"
173;Sinar Mas Group;Indonesia;Частная компания;https://www.sinarmas.com/en/index.php;https://opencorporates.com/corporate_groupings/Sinar+Mas+Group;Sinar Mas is a brand of companies, active in 6 business pillars: Pulp & Paper, Agri-business & Food, Financial Services, Developer & Real Estate, Communications & Technology and in Energy & Infrastructure. All of these businesses managed independently but shared a common corporate history and values. Sinar Mas operates its agribusiness and food pillar through Golden Agri-Resources Ltd. (“GAR”), a company listed on the Singapore Exchange in 1999. Sinar Mas Group was founded by a Chinese Indonesian tycoon, Eka Tjipta Widjaja.
177;Bunge Ltd;United States of America;Компания, имеющая листинг на фондовой бирже;;;
178;KS Oils Ltd;India;Компания, имеющая листинг на фондовой бирже;;;KS Oils Ltd invested in Indonesia through its subsidiary KS Natural Resources Pvt Ltd (KSNR) (Singapore)
182;Nonghyup Feed Inc.;Republic of Korea;Частная компания;;;
189;BHP  Billiton;Australia;Компания, имеющая листинг на фондовой бирже;;;
197;Rajawali Corpora;Indonesia;Частная компания;https://www.rajawali.com/;;Felda Global Ventures Holdings Berhad (FGV) intends to buy 37 % share from Rajawali group, however no conclusion of the transaction was reported.
201;Sime Darby;Malaysia;Компания, имеющая листинг на фондовой бирже;https://www.simedarby.com/;;
202;First Resources;Singapore;Компания, имеющая листинг на фондовой бирже;;;
204;Verdant Fund LP;Cayman Islands;Частная компания;;https://opencorporates.com/companies/sg/201218897G;
208;Kuala Lumpur Kepong Berhad (KLK);Malaysia;Компания, имеющая листинг на фондовой бирже;https://www.klk.com.my/;;Its subsidiary are PT Sekarbumi Alam Lestari, PT Langkat Nusantara Kepong, KLK Bioenergy Sdn Bhd.
210;PT Astra Agro Lestari Tbk;Indonesia;Компания, имеющая листинг на фондовой бирже;https://www.astra-agro.co.id/en/home-en/;;
211;Noble Resources Trading Holdings Limited (Noble Group);China, Hong Kong Special Administrative Region;Компания, имеющая листинг на фондовой бирже;https://www.thisisnoble.com/;;Noble Resources Trading Holdings Limited (commonly known as Noble resources) is a commodity trader based in Hong Kong. It trades energy products and industrial raw materials. Its predecessor, Noble Group Ltd was embroiled in an accounting fraud controversy started in 2015 which eventually necessitated a debt restructuring.
220;Suntime International Techno-Economic Cooperation (Group) Co., Ltd.;China;Компания, имеющая листинг на фондовой бирже;;;operates under the control of the Xinjiang Production and Construction Corp and is one its main international business arms
222;Dexion Capital;United Kingdom of Great Britain and Northern Ireland;;;;"via Global Farming Ltd, which should ""own and manage farms"" (http://farmlandgrab.org/post/view/2405-farming-lures-more-managers-as-dexion-prepares-270-million-fund-raising#sthash.ny6xzhYX.dpuf )"
224;Saudi Company for Agricultural Investment and Animal Production;Saudi Arabia;Полугосударственная компания;;;
226;Altima one world agricultural master fund Ltd.;United States of America;Инвестиционный фонд;;;
228;Noor company;Egypt, Arab Rep.;;;;
229;I K Company;United Kingdom of Great Britain and Northern Ireland;;;;private company 
230;Widam Food Company Q.S.C.;Qatar;Компания, имеющая листинг на фондовой бирже;;; formerly Qatar Company For Meat and Livestock Trading QSC (Mawashi)
231;Hawkar;;;;;
232;Shiwa Company;;;;;
234;Aditya Birla Group;India;Частная компания;;;Grasim Industries Limited (India), Thai Rayon Public Co. Ltd. (Thailand) and PT Indo Bharat Rayon (Indonesia), which belong to the Aditya Birla Group, form the equity holders in BLPP. 
235;Lao Agar International Development Co. Ltd. (L.A.I.D);Lao PDR;Частная компания;https://www.laoagar.com/;;
239;Cherchanghang Co;China;;;;
242;Crapkin Agriculture Co Ltd;Republic of Korea;;;;
247;GO Crapkin Co Ltd;Republic of Korea;;;;
252;Heurnmao Rubber Co. Ltd.;China;Частная компания;;;
253;Hoang Anh Gia Lai Joint Stock Company (HAGL Group);Vietnam;Компания, имеющая листинг на фондовой бирже;http://www.hagl.com.vn/;;Hoang Anh Gia Lai claims that it is not one shareholder of Binh Ha (See vietnamese source http://www.hagl.com.vn/Group_Posts/DetailPost/20160415185008508)
254;Industrial and Agricultural Development for Import-Export;United States of America;;;;
255;Mengla Jinggu Trading Co.;China;;;;
257;Kaosouyaotiang Viet-Lao Company;Vietnam;;;;Kaosouyaotiang Viet-Lao Company is a partnership of three Vietnamese companies.
258;Khanxay Agriculture Development Co. Ltd.;Lao PDR;Частная компания;;;Khanxay Agriculture Development Co. Ltd. is a company based in Laos that exports agricultural products, specifically banana powder. Khan Xay Agriculture Development Co. Ltd. is a subsidiary of Hoang Anh Gia Lai Joint Stock Company (HAGL).
260;KV Import-Export Co. Ltd.;Malaysia;;;;
261;Lakorea Co.;Republic of Korea;;;;
269;Lao Mithsamphan Farm;;;;;It is not possible to identify the nationality of this investor. The investor seems to be a joint venture between investors from Laos and China.
274;Mitr Phol Group;Thailand;Частная компания;;;"formerly known as ""Mitr Phol Sugar Corporation"""
275;Mr. Chang Hwan Choi;Republic of Korea;Частный предприниматель;;;
276;Mr. Lai Vanthong;China;Частный предприниматель;;;
278;Oji Paper Co Ltd;Japan;Компания, имеющая листинг на фондовой бирже;;;
281;Rafarm Agriculture Development Co.;China;;;;
282;Thien Loui Ye Co Ltd;China;;;;
283;Tongtheun Lao-China Agriculture Development;China;;;;
287;Wanxouane Ngouane Thanghai Co;Vietnam;;;;
296;Yongfong Xeun Co;China;;;;
297;Yongfongxeun Industrial Wood Plantation Co. Ltd.;China;;;;
299;Zhongxing Telecommunication Equipment (ZTE) Company;China;Полугосударственная компания;https://www.zte.com.cn/global/;;"ZTE Corporation is a Chinese partially state-owned technology company that specializes in telecommunication. Founded in 1985, ZTE is listed on both the Hong Kong and Shenzhen Stock Exchanges.

In 2007, ZTE started to turn its attention to agriculture. It set up a new company, ZTE Energy, to invest in biofuels and food production in China, and to develop overseas farm operations as part of “the strategic plan on agriculture going globally laid down by the central government”."
300;Mission NewEnergy Limited;Australia;Компания, имеющая листинг на фондовой бирже;;;
304;Tian Yida Group;China;Частная компания;;;
306;Samling Global Ltd.;Malaysia;Компания, имеющая листинг на фондовой бирже;;;Acts through a subsidiary called Malaysia Prestige Plantation
308;Qatar Investment Authority (QIA);Qatar;Государственная компания;;;Hassad Food is owned and was established by the Qatar Investment Authority (QIA).
315;Shin Yang Holding;Malaysia;Частная компания;;;
316;RH Forest Corporation Sdn. Bhd.;Malaysia;Частная компания;;;
317;Rimbunan Hijau Group (RH Group);Malaysia;Частная компания;https://rhg.com.my/rhg_v2/en/welcome/;;Rimbunan Hijau is a Malaysian multinational logging corporation controlled by Malaysian businessman Tiong Hiew King. The company has operations in many countries, including Malaysia, Indonesia, Papua New Guinea, Equatorial Guinea, Gabon, Vanuatu, New Zealand and Russia.
321;Ekran Berhad;Malaysia;Частная компания;;;
323;Ta Ann Group;Malaysia;Компания, имеющая листинг на фондовой бирже;;;
326;BFP International (Biofuel Projects International);Netherlands;Частная компания;;;
328;FACE Foundation;Netherlands;Инвестиционный фонд;;;NGO
330;Kulim (Malaysia) Berhad;Malaysia;Компания, имеющая листинг на фондовой бирже;;;
337;Solvent Extractors’ Association (SEA) of India;India;Иное;https://seaofindia.com/;;"The Solvent Extractors’ Association of India was formed in 1963 to help and foster the development and growth of Solvent Extraction Industry in India. At present the Association is having 875 members including about 350 working solvent extraction plants having combined oilcake/oilseed processing annual capacity of about 30 million tonnes.

The Solvent Extractors' Association of India is a company limited by guarantee. It is also a non-government company."
339;Kuwait Investment Authority (KIA);Kuwait;Государственная компания;;;30.64%
340;Kuwait Fund For Arab Economic Development;Kuwait;Государственная компания;;;
341;Kuwait Petroleum Corporation;Kuwait;Государственная компания;;;
342;Government of Myanmar;Myanmar;Государственная компания;;;
343;Government of Thailand;Thailand;Государственная компания;;;
346;Al Dahra Agricultural Company LLC;United Arab Emirates;Частная компания;https://www.aldahra.com/;;
348;The Abraaj Group;United Arab Emirates;Инвестиционный фонд;;;
349;Abu Dhabi Group;United Arab Emirates;;;;
350;Al Qudra Holding;United Arab Emirates;Компания, имеющая листинг на фондовой бирже;http://alqudraholding.ae/;;Private joint stock company based in the Emirate of Abu Dhabi
351;Emirates Investments Group LLC;United Arab Emirates;Инвестиционный фонд;;;Emirates Investments Group LLC is an investment company based in the United Arab Emirates with interests in the Middle East and Asia Pacific regions. The dynamic investment Group sources unique business development opportunities and works closely with established companies through partnerships (EIG website)
358;Shaikh Zaid Bib Nahyan of Abu Dhabi;United Arab Emirates;;;;
367;TRAFCO;Bahrain;Компания, имеющая листинг на фондовой бирже;https://www.trafco.com/;;Trafco Group B.S.C (TRAFCO) was incorporated in the year 1977 as a public joint stock company as part of an initiative to revolutionize and rejuvenate the food industry of the Kingdom of Bahrain. The Company was successfully turned into Public Share Holding Company with initial public offering in 1980 and was later listed in Bahrain Bourse.
368;Kijani Energy Canada;Canada;Частная компания;;;
371;Pan Energy Developing Company (PEDCO);Republic of Korea;;;;
372;Bin Daen Group of Dubai;United Arab Emirates;;;;
374;Engro Corporation;Pakistan;Компания, имеющая листинг на фондовой бирже;;;"formerly known as ""Engro Chemicals"""
376;Qatar Investment Authority;Qatar;Государственная компания;;;"Sovereign wealth fund
Through its investment arm ""Hassad Food"""
378;Widam Food;Qatar;Частная компания;;;To be renamed Widam Food Company
381;Al Rabie Saudi Foods Co.;Saudi Arabia;Частная компания;https://www.alrabie.com/aboutus;;
392;Nader & Ebrahim s/o Hassan Co.;Bahrain;Частная компания;http://www.nehco.com/;https://opencorporates.com/companies/bh/8735-1;"According to OpenCorporates, the company was dissolved in 2015 and current status is ""Under Mortgage"""
395;Hassan Group;Bahrain;Частная компания;;;
400;TVI Pacific Inc.;Canada;;;;
401;Agricultural Department of the Guangxi Zuang Autonomous Region (ADGZAR);China;Государственная компания;;;
402;China CAMC Engineering Co. Ltd. (CAMC);China;Частная компания;http://camce.com.cn/en/;https://opencorporates.com/companies/hk/1555345;"China CAMC Engineering Co., Ltd. (referred to as ""CAMC""), a subsidiary of China National Machinery Industry Corporation. Also called China National Constructional and Agricultural Machinery Import and Export Corp."
403;Eastern Petroleum Corporation;Philippines;Частная компания;;;
406;Guangdong Academy of Agricultural Sciences;China;Государственная компания;;;
407;Guangdong Guangyan Fishery Group Co. Ltd.;China;Частная компания;;;
411;Regional Government of Jilin;China;Государственная компания;;;
412;China Development Bank;China;Государственная компания;;;
413;Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.;China;Частная компания;;;
419;D1 Oils PLC;United Kingdom of Great Britain and Northern Ireland;Частная компания;;;"D1 Oils changed name to ""NEOS Resources Plc"" in March 2012. "
420;NRG Chemicals;United Kingdom of Great Britain and Northern Ireland;Компания, имеющая листинг на фондовой бирже;;;
421;Pacific Bio-Fields Corp;United Kingdom of Great Britain and Northern Ireland;Компания, имеющая листинг на фондовой бирже;;;
424;GCO;China;Инвестиционный фонд;;;
425;Mitsubishi Corp.;Japan;Компания, имеющая листинг на фондовой бирже;;;http://eng.binhduong.gov.vn/en/sobannganh_detail.php?id=7777&idcat=4538&idcat2=159
432;Jeonnam Feedstock Ltd.;Republic of Korea;Государственная компания;;;
437;San Miguel Corporation (SMC);Philippines;Компания, имеющая листинг на фондовой бирже;https://www.sanmiguel.com.ph/;;SMC was established by the Cojuangco family, who is a wealthy elite family in the Philippines. It is currently owned majority by Ramon S. Ang
438;Kuok Group;Malaysia;Частная компания;;;
